dist,zvel,PIDx,PIDz,xvel,pitch,theta
1.2300000191,0.3495864868,0.2309634038,0.3032202317,0.0021519347,1.3250408023,80.7109788558
1.2300000191,0.3265999854,0.5,0.308683761,0.0010702708,1.3899454629,0
1.2699999809,0.2999438941,0.231825134,0.2585854987,0.0011465192,1.4183430588,80.4524598083
1.2699999809,0.2873193026,0.5,0.2629482058,0.0010848811,1.4703945729,0
1.2699999809,0.2648356557,0.5,0.2628685448,0.002058621,1.7722633192,0
1.3300000429,0.2446398437,0.2221756055,0.1878585097,0.0060214023,2.6836384339,83.3473183641
1.3300000429,0.2184223384,0.5,0.1944197718,0.0128989825,3.4539819092,0
1.3799999952,0.2128414661,0.2175204376,0.1318024882,0.0325133987,4.2426736331,84.7438687308
1.3799999952,0.1993275285,0.5,0.137256565,0.0485183336,4.955269898,0
1.3899999857,0.1704109758,0.2206565698,0.1246570873,0.0641158819,6.0032166666,83.8030290557
1.3899999857,0.1187173277,0.5,0.1257384001,0.1016676873,6.4889222086,0
1.4500000477,0.0917538255,0.2538636866,0.0507172368,0.1279585063,6.7338798643,73.8408940315
1.4500000477,0.0806269795,0.5,0.0572771079,0.1495434344,6.6448616704,0
1.4800000191,0.0695833415,0.3760148774,0.0196596266,0.1905148178,6.4000469864,37.1955367825
1.4800000191,0.0686073974,0.5,0.0229261838,0.210581705,5.9540759735,0
1.4900000095,0.0235816557,0.468641129,0.0103657658,0.2310314327,5.5378114457,9.4076613019
1.4900000095,0.0118196486,0.5,0.011451961,0.2386184782,5.253167453,0
1.5,-0.0096818684,0.4767711201,-0.0010685025,0.2509048581,5.0896491598,6.9686639614
1.5,-0.0137183201,0.5,0.000022687,0.2560237646,5.267154991,0
1.5,-0.023732068,0.5,2.83588003671009E-06,0.2677379251,5.7754742914,0
1.5,-0.040325813,0.5,3.54485004588761E-07,0.2894550562,6.350173883,0
1.5399999619,-0.0433666334,0.4611188555,-0.049999908,0.3814411759,7.5352028748,11.6643433529
1.5199999809,-0.0427442119,0.4846474981,-0.0206249748,0.424448669,7.2042188369,4.6057505844
1.5199999809,-0.0427442119,0.2,-0.0228906025,0.424448669,7.1337179386,90
1.5199999809,-0.0439380854,0.5,-0.0228613062,0.43109712,7.0490434943,0
1.5399999619,-0.0492857844,0.4864359102,-0.0478576204,0.4392574728,6.9655921773,4.069226938
1.5399999619,-0.0639211461,0.5,-0.0456696647,0.4440368414,6.7671328829,0
1.5399999619,-0.077104412,0.5,-0.0457086699,0.445317775,6.5015309694,0
1.5399999619,-0.0868735015,0.5,-0.0457135456,0.4446927905,5.8915183911,0
1.5399999619,-0.0875745714,0.5,-0.0457141551,0.4425272942,5.0421726523,0
1.5199999809,-0.0760356113,0.4898050823,-0.0207142551,0.4269254506,4.7217017179,3.0584752987
1.5199999809,-0.0759297162,0.5,-0.0229017625,0.4161638021,4.7907935962,0
1.5199999809,-0.0755570084,0.5,-0.0228627012,0.4071570039,5.0107988196,0
1.5199999809,-0.0663345158,0.5,-0.0228578186,0.388441354,5.30492005,0
1.5399999619,-0.0595767237,0.4904125566,-0.0478571844,0.3812963068,5.8913712436,2.8762330191
1.5399999619,-0.0556771643,0.5,-0.0456696102,0.3704911172,6.2831335977,0
1.5099999905,-0.0575838313,0.4861927725,-0.0082086989,0.3688082099,6.7042622996,4.1421682439
1.5099999905,-0.0734408349,0.5,-0.0114948274,0.3741170168,7.2825664261,0
1.5299999714,-0.0814193487,0.4913427909,-0.03643682,0.3777793646,7.7368897525,2.5971627447
1.5299999714,-0.0639008507,0.5,-0.0342420742,0.3949420154,7.9526688976,0
1.5199999809,-0.0518459193,0.4960099929,-0.0217802426,0.4051574767,8.0630478553,1.1970021174
1.5199999809,-0.0489773043,0.5,-0.0228787611,0.4161322117,8.0528723753,0
1.5299999714,-0.0666590855,0.4963431025,-0.0353598141,0.4301772714,7.9884668235,1.0970692516
1.5299999714,-0.0678908527,0.5,-0.0342636983,0.4352435768,7.8382043058,0
1.5299999714,-0.0590336174,0.5,-0.0342829337,0.450224191,7.7051406347,0
1.5299999714,-0.0602072887,0.5,-0.0342853381,0.4532867968,7.5741590353,0
1.5299999714,-0.0670532063,0.5,-0.0342856387,0.4563519061,7.467817015,0
1.5199999809,-0.0668670088,0.4969229905,-0.0217856881,0.4576460421,7.3371614841,0.9231028491
1.5199999809,-0.0662889183,0.5,-0.0228794418,0.4567794502,7.2774566368,0
1.5199999809,-0.0697429106,0.5,-0.0228599112,0.4541105032,7.2662019986,0
1.5199999809,-0.0665903762,0.5,-0.0228574698,0.4527174234,7.2729625905,0
1.5199999809,-0.0586450063,0.5,-0.0228571647,0.4474898577,7.3000606886,0
1.5199999809,-0.0564644001,0.5,-0.0228571265,0.4444843829,7.339361339,0
1.5099999905,-0.0547294095,0.4973271392,-0.0103571337,0.4403679371,7.4582687363,0.8018582547
1.5099999905,-0.0548861995,0.5,-0.011450882,0.4354433417,7.5544492602,0
1.5099999905,-0.0542921908,0.5,-0.0114313507,0.4301810265,7.6674978792,0
1.5099999905,-0.0483751707,0.5,-0.0114289093,0.4269889593,7.8137737069,0
1.5099999905,-0.0407033674,0.5,-0.0114286041,0.4243226945,7.9676170077,0
1.5099999905,-0.0402700454,0.5,-0.011428566,0.422724843,8.063261039,0
1.5099999905,-0.0405384116,0.5,-0.0114285612,0.4202413857,8.1662717671,0
1.5099999905,-0.040776886,0.5,-0.0114285606,0.4165523648,8.3337850198,0
1.2300000191,0.4237776101,0.4842938078,0.3010855279,-0.0891923979,7.3726126208,4.7118576468
1.2300000191,0.3999467194,0.5,0.3087294227,-0.0896633044,7.5140648496,0
1.25,0.3796534836,0.4954633782,0.2835911826,-0.0883958787,7.7238164097,1.3609865498
1.25,0.3445161879,0.5,0.2857613975,-0.0863160491,7.9393529362,0
1.2999999523,0.3360025287,0.4885692225,0.2232202343,-0.0813289881,8.975094943,3.4292332535
1.2999999523,0.3088653684,0.5,0.2286838262,-0.0640539303,10.4006127346,0
1.3600000143,0.2909646928,0.4861983255,0.1535854485,-0.0446611047,12.6600149814,4.1405023383
1.3600000143,0.2573457658,0.5,0.1601356677,-0.0024282609,14.0680910856,0
1.4099999666,0.2292767167,0.4884930858,0.0975170038,0.0294386018,15.6166703159,3.4520742739
1.4099999666,0.164296627,0.5,0.1029709081,0.0975564122,16.5043051818,0
1.4400000572,0.1398305893,0.4931629801,0.0653712836,0.1339067221,16.9422510522,2.0511059645
1.4400000572,0.0558814816,0.5,0.0686401047,0.1922411472,17.0779461045,0
1.4800000191,0.0189242754,0.4908242306,0.0185800035,0.2287152112,16.8647911522,2.7527308203
1.4800000191,-0.0114414785,0.5,0.0229474808,0.2620000243,16.105197644,0
1.5199999809,-0.035171181,0.4906877657,-0.0271315363,0.328589946,15.4833385867,2.7936702781
1.5199999809,-0.0395115986,0.5,-0.0227664236,0.35335356,14.2802902221,0
1.4900000095,-0.0462226085,0.4930726416,0.0146541804,0.3827188611,13.5710419026,2.0782075079
1.4900000095,-0.0417919531,0.5,0.0113630135,0.3930255473,12.5608840235,0
1.5199999809,-0.0668033659,0.4932400317,-0.0260795971,0.3916145563,12.1534806338,2.0279905005
1.5199999809,-0.0597902387,0.5,-0.022791181,0.3891590536,11.8552709338,0
1.5399999619,-0.0244220588,0.4956077745,-0.0478488547,0.3790940046,11.7656402676,1.3176676505
1.5399999619,-0.0246093553,0.5,-0.045668569,0.3728736341,11.863247759,0
1.5499999523,-0.0449777208,0.4978648573,-0.0582085211,0.3592550457,12.0823610613,0.6405428203
1.5499999523,-0.0527509302,0.5,-0.0571197676,0.3569959998,12.4053681447,0
1.6100000143,-0.0697939098,0.4875799838,-0.1321400008,0.3510769606,12.9955171693,3.7260048495
1.6100000143,-0.0770752877,0.5,-0.1255800134,0.3505106866,13.3299000921,0
1.6299999952,-0.0821700767,0.4959822234,-0.1506974921,0.3582318425,13.8315608903,1.2053329755
1.6299999952,-0.0963175595,0.5,-0.148524682,0.3616510928,14.082574146,0
1.6299999952,-0.1240899414,0.5,-0.1485655805,0.3639714122,14.4641910948,0
1.75,-0.4823293984,0.2,-0.2771682714,-0.0999790356,14.7848653568,90
1.75,-0.4715886414,0.5,-0.2858960346,-0.0981235504,14.7615846013,0
1.75,-0.4312136173,0.5,-0.2857370043,-0.0927145109,14.6598014401,0
1.7899999619,-0.4944167733,0.4885612166,-0.3217913372,0.6766858697,17.5439990166,3.4316350293
1.7899999619,-0.4999708235,0.5,-0.3316301295,0.7652754784,14.6136164262,0
1.5800000429,-0.4862806797,0.4758149989,-0.0689538294,0.8707377315,11.488739282,7.255500323
1.5800000429,-0.4026466906,0.5,-0.0919005203,0.872531414,6.5703202095,0
1.4400000572,-0.3454907835,0.4855759593,0.0835123742,0.847471714,4.030260941,4.3272121966
1.4400000572,-0.3094846606,0.5,0.0682514898,0.8091161251,2.2758289031,0
1.3799999952,-0.1372168213,0.4942521827,0.1435314565,0.6914855838,0.3645187628,1.7243451866
1.3799999952,-0.0638284385,0.5,0.1370039359,0.6362882853,0.5079396861,0
1.2400000095,0.3298022747,0.2842786561,0.2917941122,-0.0100273415,1.9240190685,64.7164031568
1.2400000095,0.3188209832,0.5,0.2972555037,-0.0078292135,1.9495442695,0
1.2699999809,0.2995996773,0.3317422752,0.2596569642,-0.0042341752,1.9678260953,50.4773174516
1.2699999809,0.2852808833,0.5,0.2629258892,-0.0034127203,2.097471891,0
1.3200000525,0.2688940763,0.2879570448,0.2003656658,-0.0029667572,2.5344889161,63.6128865637
1.3200000525,0.2564823627,0.5,0.2058269069,0.005671903,3.9348339069,0
1.3500000238,0.2362135649,0.3453365138,0.1682283467,0.0166187752,5.004456959,46.3990458631
1.3500000238,0.1890480518,0.5,0.171497269,0.0503708534,6.1970279333,0
1.3700000048,0.1615175307,0.3972097669,0.1464371586,0.0756190345,7.479567252,30.8370699234
1.3700000048,0.1344633549,0.5,0.1486171398,0.1325226724,7.9565911771,0
1.3899999857,0.1244874075,0.4360096108,0.1235771615,0.161569804,8.3603399404,19.1971167629
1.3899999857,0.103867799,0.5,0.1257596592,0.2266324162,8.398110873,0
1.4299999475,0.0972786844,0.4190226617,0.0757200194,0.2523646951,8.2278191603,24.2932014931
1.4299999475,0.0859594047,0.5,0.0800900543,0.3043138981,8.033359885,0
1.4299999475,0.083427459,0.5,0.0800113092,0.3250265121,7.5953176478,0
1.4299999475,0.0555173345,0.5,0.0800014661,0.3587653935,7.3277074875,0
1.4500000477,0.0409915075,0.4770731367,0.0550001105,0.3740528524,6.935324269,6.8780589964
1.4500000477,0.0381833613,0.5,0.0571874677,0.3991633058,6.7623201427,0
1.4500000477,0.0401680954,0.5,0.0571483858,0.4086850286,6.5691215752,0
1.4500000477,0.0248121955,0.5,0.0571435005,0.4232523441,6.4563738068,0
1.4500000477,0.0178808831,0.5,0.0571428899,0.4284781516,6.3753689625,0
1.4500000477,0.0146310898,0.5,0.0571428136,0.438497752,6.3305967034,0
1.4500000477,0.0163353123,0.5,0.057142804,0.4427684247,6.2967094074,0
1.4500000477,0.0155358259,0.5,0.0571428028,0.4467429221,6.2543298292,0
1.4600000381,0.0165545885,0.4937550164,0.0446428146,0.4526040554,6.2644838694,1.873495078
1.4600000381,0.0165786762,0.5,0.0457365635,0.4567852914,6.2647689537,0
1.4600000381,0.0146607151,0.5,0.0457170323,0.461715579,6.2532480837,0
1.4600000381,0.0087448023,0.5,0.0457145909,0.465051055,6.2213716463,0
1.4800000191,0.0073091378,0.4902929596,0.0207143096,0.4690092802,6.1500842158,2.9121121211
1.4800000191,0.0055216928,0.5,0.0229017693,0.4684714377,6.1168114849,0
1.4600000381,0.0079961047,0.4909291261,0.0478626783,0.4723627567,6.0887740784,2.7212621604
1.4600000381,0.0016779481,0.5,0.0456702969,0.4715594351,6.1000494261,0
1.4900000095,-0.019063754,0.4873977817,0.0082087847,0.4758744836,6.1521756543,3.7806655046
1.4900000095,-0.0071069933,0.5,0.0114948381,0.4761647284,6.1499446191,0
1.4900000095,0.0099973641,0.5,0.0114368452,0.4771085083,6.1279137514,0
1.4600000381,0.003508735,0.4885667989,0.0489295604,0.4759184122,6.1094638616,3.4299603394
1.4800000191,-0.0209587067,0.5,0.0206474312,0.4750377536,6.144340608,0
1.4800000191,-0.0253766254,0.2899384418,0.0228934095,0.4730708897,6.1752571697,63.0184674533
1.4600000381,-0.005940238,0.5,0.0478616333,0.4762599766,6.1777151201,0
1.4600000381,0.001860484,0.4933232598,0.0456701663,0.4771864116,6.140344465,2.0030220733
1.4600000381,-0.0038055461,0.5,0.0457087326,0.47459957,6.0352214197,0
1.4900000095,-0.0143007012,0.4902208015,0.0082135892,0.4687251747,5.5704857265,2.9337595425
1.4900000095,-0.0016990842,0.5,0.0114954387,0.4625335336,5.1419607467,0
1.4900000095,0.0220643859,0.5,0.0114369203,0.4440517724,4.8302596871,0
1.4900000095,0.0160688944,0.5,0.0114296055,0.4313834012,4.864054996,0
1.4900000095,-0.0112628257,0.5,0.0114286912,0.4101213217,5.2644802803,0
1.4900000095,-0.0170212481,0.5,0.0114285769,0.3995167613,5.6361971518,0
1.4600000381,-0.0168409534,0.4907692309,0.0489285268,0.3864777684,6.2959339432,2.7692307323
1.4600000381,-0.0169497058,0.5,0.0456472782,0.3831574321,6.7199378691,0
1.4800000191,-0.0206028391,0.4939083343,0.0207058955,0.3853027523,7.3224052008,1.8274996995
1.4800000191,-0.0141991749,0.5,0.0229007176,0.3926304281,7.5676344263,0
1.5,0.01202932,0.4941233294,-0.0021374055,0.4097275734,7.8234400145,1.763001187
1.5,0.0089309383,0.5,0.000045324,0.4192786813,7.9323962106,0
1.5,-0.0086312946,0.5,5.66550124013089E-06,0.4328810871,7.9670494334,0
1.5,-0.020223828,0.5,7.08187655016361E-07,0.4410395324,7.961047475,0
1.4900000095,-0.0370396413,0.4973391423,0.0125000766,0.453751415,7.8638128745,0.7982573204
1.4900000095,-0.0366989225,0.5,0.0114062502,0.4591787457,7.7475249205,0
1.4900000095,-0.0327893235,0.5,0.0114257717,0.470004648,7.6277121658,0
1.4900000095,-0.0235895924,0.5,0.0114282119,0.4743356109,7.4336675212,0
1.5,-0.0155835878,0.4975635835,-0.0010714711,0.4769826531,7.3253153605,0.7309249521
1.5,-0.0124387648,0.5,0.000022316,0.4763254225,7.2036725231,0
1.4800000191,-0.0130766453,0.4952570518,0.0250027657,0.4723290801,7.0870380984,1.4228844682
1.4800000191,-0.0186135471,0.5,0.0228128269,0.4691898227,7.0636874016,0
1.4600000381,-0.0237480868,0.4954387176,0.0478515605,0.4674963057,7.1107638832,1.3683847081
1.4600000381,-0.0145338047,0.5,0.0456689072,0.4662536681,7.1368183995,0
1.2000000477,0.4278644323,0.4923269091,0.3385911623,-0.01676929,4.1204179929,2.3019272592
1.2000000477,0.417868793,0.5,0.3429488489,-0.0158375259,4.0829223462,0
1.2699999809,0.3642573655,0.4865455589,0.2553686419,-0.0134440865,4.0258493475,4.0363323392
1.2699999809,0.347432673,0.5,0.2630148483,-0.0134678297,4.0704137546,0
1.3700000048,0.3451494277,0.5,0.1378768453,-0.0114711663,5.0451332898,0
1.3700000048,0.3246844411,0.4807560783,0.1487971013,-0.0012482079,6.2160141775,5.7731765134
1.3700000048,0.2968446612,0.5,0.1485996329,0.0074492185,7.5933950522,0
1.3799999952,0.2224758565,0.4980717861,0.1360749613,0.0445635431,9.8007805787,0.5784641685
1.3799999952,0.1735294461,0.5,0.1371656248,0.0665959492,10.9645766119,0
1.4600000381,0.119153589,0.4847254605,0.0371456542,0.1294673681,12.0385737972,4.582361846
1.4600000381,0.110585399,0.5,0.0458931693,0.1742668301,12.9617497212,0
1.5800000429,0.104169786,0.4776127284,-0.1042633979,0.2611048222,13.1622611118,6.7161814846
1.5800000429,0.0775185451,0.5,-0.0911579676,0.296282351,12.8737164638,0
1.6100000143,0.0210503172,0.4944835751,-0.1288947531,0.3575215638,12.500501238,1.654927464
1.6100000143,-0.0174576584,0.5,-0.1256431089,0.3791557252,12.0095909941,0
