dist,zvel,PIDx,PIDz,xvel,pitch,theta
0.0900000036,0.0307166725,0,0.5,0.0074465582,1.5833073373,63.5015704613
0.0900000036,0.0319071449,0,0.5,0.0074019022,1.5941490749,0
0.0900000036,0.0311696995,0,0.5,0.0081233727,1.6064389728,0
0.0900000036,0.0334732123,0,0.5,0.0089049041,1.6103628423,0
0.0900000036,0.0327500775,0,0.5,0.006667308,1.6111137437,0
0.0900000036,0.0318411887,0,0.5,0.0088148089,1.606698748,0
0.0900000036,0.0303869415,0,0.5,0.0097493203,1.6037337917,0
0.0900000036,0.0404770821,0,0.5,0.011337976,1.6157517488,0
0.0900000036,0.0820690989,0,0.5,0.0124248005,1.5008659221,0
0.0900000036,0.2406498939,0,0.5,0.0150583182,1.2145426657,0
0.1099999994,0.3275723755,0,0.5,0.0140749933,0.5946402276,23.3799736402
0.1099999994,0.3914055824,0,0.5,0.0100933779,0.1881255103,0
0.0599999987,0.4060688019,0,0.5,-0.0047560511,-0.369874731,46.7874507274
0.0599999987,0.3961845338,0,0.5,-0.0128633799,-0.6103249455,0
0.0799999982,0.3906534314,0,0.5,-0.0339699574,-0.7691689202,23.8303110099
0.0799999982,0.389944464,0,0.5,-0.0436950624,-0.7505509051,0
0.1299999952,0.3904260397,0,0.5,-0.0572302453,-0.6209902591,49.9178022424
0.1299999952,0.3894958496,0,0.5,-0.0716582015,-0.3237126846,0
0.1599999964,0.389141053,0,0.5,-0.0809659511,-0.0707783055,39.6854066458
0.1599999964,0.388618201,0,0.5,-0.0831286013,0.2125531317,0
0.1899999976,0.3884436786,0,0.5,-0.0836782753,0.5524937501,46.6498848309
0.1899999976,0.388145119,0,0.5,-0.0817782357,0.7698272126,0
0.2199999988,0.3895557225,0,0.5,-0.0804699063,1.0015891153,56.1115148836
0.2199999988,0.3934571743,0,0.5,-0.0756549835,1.1242456298,0
0.2599999905,0.3940731883,0,0.5,-0.0715643615,1.2561933003,72.0372346584
0.2599999905,0.3921689987,0,0.5,-0.064270407,1.3011965571,0
0.2899999917,0.3940114975,0,0.5,-0.0603856705,1.323461939,86.0839515662
0.2899999917,0.394752115,0,0.5,-0.0523407087,1.3357105163,0
0.3300000131,0.3980604708,0,0.5,-0.0476220995,1.3257095559,58.9437778633
0.3300000131,0.4004353583,0,0.5,-0.0386327319,1.3161995606,0
0.3600000143,0.4020247161,0,0.5,-0.0350714065,1.279166053,78.0229948672
0.3600000143,0.4046460688,0,0.5,-0.0312682688,1.2539242475,0
0.3899999857,0.4041079283,0,0.5,-0.030336963,1.2277644459,87.5034957294
0.3899999857,0.4048457444,0,0.5,-0.02434838,1.1529880519,0
0.4199999869,0.40646106,0,0.5,-0.024059793,1.1204021952,78.1619392788
0.4199999869,0.4107219279,0,0.5,-0.0212127268,1.0991489236,0
0.4799999893,0.41011554,0,0.5,-0.0222869478,1.0903590272,78.7936166693
0.4799999893,0.4090753198,0,0.5,-0.0232692137,1.090968116,0
0.5099999905,0.4101600647,0,0.5,-0.0229935627,1.0939704836,56.6265381034
0.5099999905,0.4133958817,0,0.5,-0.0235562362,1.1101587332,0
0.5600000024,0.4160204828,0,0.5,-0.0241545998,1.1432479956,60.4122306118
0.5600000024,0.4155454338,0,0.5,-0.0242906846,1.1967387982,0
0.5799999833,0.4182150364,0,0.5,-0.0227219686,1.2196928357,29.9889406629
0.5799999833,0.4208753407,0,0.5,-0.0228809975,1.2564277635,0
0.6399999857,0.420504272,0,0.5,-0.0206813477,1.2871340479,56.446364339
0.6399999857,0.4195418954,0,0.5,-0.0190836601,1.304047825,0
0.6600000262,0.420663774,0,0.5,-0.0131876757,1.3158222107,23.9868494855
0.6600000262,0.4225182533,0,0.5,-0.0119875669,1.3169392284,0
0.6899999976,0.4233346581,0,0.5,-0.0098134177,1.2893837167,31.0664630731
0.6899999976,0.4249266982,0,0.5,-0.0087864064,1.2709853664,0
0.75,0.424492538,0,0.5,-0.0061776051,1.2239797221,48.4547517368
0.75,0.4259690642,0,0.5,-0.00679175,1.1936699588,0
0.8199999928,0.4252746105,0,0.5,-0.0060134074,1.1765807957,51.0980808143
0.8199999928,0.4263015985,0,0.5,-0.0046054116,1.1680636877,0
0.8399999738,0.4267547131,0,0.5,-0.0032698426,1.1565717172,18.4729043036
0.8399999738,0.4282105565,0,0.5,-0.0016090375,1.1383501706,0
0.8999999762,0.4301993251,0,0.5,-0.0022598938,1.1331531128,43.9457410476
0.8999999762,0.4305642247,0,0.5,-0.001956692,1.1479118453,0
0.8999999762,0.4337610006,0,0.5,-0.0023150248,1.166355796,0
0.9700000286,0.4371143579,0,0.5,-0.0017858793,1.1729266764,46.3744148793
0.9700000286,0.4361701906,0,0.5,-0.0014124131,1.17123152,0
1.0099999905,0.4333307147,0,0.5,-0.0025264914,1.1589704095,29.9802102127
1.0099999905,0.4348753691,0,0.5,-0.0039875996,1.1507411298,0
1.0499999523,0.4383331835,0,0.5,-0.0046784915,1.1607815278,28.881145474
1.0499999523,0.4410695136,0,0.5,-0.0049272655,1.1562761011,0
1.0700000525,0.4394055903,0,0.4892969835,-0.0035161399,1.1576181108,14.6555845805
1.0700000525,0.4412385523,0,0.491474572,-0.0033533955,1.1673470196,0
1.1399999857,0.4412713349,0,0.4039343525,-0.000688904,1.2118000263,40.9053155153
1.1399999857,0.4360921681,0,0.4115855573,-5.293011781765E-05,1.2414836466,0
1.1799999475,0.4306443632,0,0.3614482567,0.0026884396,1.2498499589,26.2222844564
1.1799999475,0.4085628092,0,0.3658060839,0.0020819276,1.2496089945,0
1.2200000286,0.3578400314,0,0.3157257116,0.0019769669,1.2504280477,25.2744293388
1.2200000286,0.3322378099,0,0.3200906866,0.0027183841,1.2383633432,0
1.2300000191,0.3111041188,0,0.3075113191,0.0006114224,1.2244783091,6.5557388178
1.2300000191,0.2821511328,0,0.3085951457,0.0013725106,1.2269799016,0
1.2899999619,0.2707126737,0,0.2335744457,0.0019107074,1.2384365774,33.5671520597
1.2899999619,0.2612747848,0,0.240134343,0.0015793133,1.2392980903,0
1.3300000429,0.2563973069,0,0.1900167297,0.0012897893,1.2272216551,23.3681380451
1.3300000429,0.2486796081,0,0.1943770496,0.002364855,1.2174523293,0
1.3600000143,0.1944345683,0,0.156797124,0.0027632259,1.1969690254,17.4358467218
1.3600000143,0.1713491231,0,0.1600683758,0.0023895775,1.1934026171,0
1.3899999857,0.1443537772,0,0.1225085684,0.002538451,1.2158167292,17.1563606635
1.3899999857,0.1299243718,0,0.1257823349,0.0035976879,1.1821531103,0
1.3999999762,0.1101696417,0,0.1132228181,0.0014795585,1.1439750485,5.6931884561
1.3999999762,0.0995632559,0,0.114309126,0.0003332702,1.1503117486,0
0.3799999952,-0.3171997666,0,0.5,-0.0128109735,1.5788743101,7.1830785188
0.3799999952,-0.2909759581,0,0.5,-0.0112360986,1.6048441125,0
0.3400000036,-0.2649315894,0,0.5,-0.0074513108,1.6074780648,9.4258946762
0.3400000036,-0.2523448467,0,0.5,-0.0064850985,1.6020501538,0
0.2899999917,0.0213259291,0,0.5,0.0020951075,1.5364543113,11.6148399933
0.2899999917,0.2036561072,0,0.5,0.007837981,1.411263291,0
0.3199999928,0.4977649748,0,0.5,0.012659518,1.2017642309,6.9562373571
0.3199999928,0.532589972,0,0.5,0.0102272676,1.0987183552,0
0.3199999928,0.4978598356,0,0.5,0.0050936453,1.0442705459,0
0.3199999928,0.4830345213,0,0.5,0.002613076,1.0338904059,0
0.349999994,0.4778264761,0,0.5,-0.0029620456,1.0950793154,7.1210254857
0.349999994,0.4807006419,0,0.5,-0.0043370514,1.236494301,0
0.3899999857,0.4802963138,0,0.5,-0.00516106,1.3448221762,9.2393367533
0.3899999857,0.4798779786,0,0.5,-0.0033918892,1.4678076159,0
0.4499999881,0.4762475789,0,0.5,-0.0007832522,1.5730723534,13.7245908343
0.4499999881,0.4765248895,0,0.5,0.0005808146,1.618024157,0
0.4799999893,0.4751488268,0,0.5,0.0012649463,1.6171509411,6.916441226
0.4799999893,0.4766226113,0,0.5,0.0028686917,1.5907156503,0
0.5699999928,0.4799028337,0,0.5,0.0022196721,1.5662980265,19.9686573951
0.5699999928,0.4815084338,0,0.5,0.0025216432,1.5367796382,0
0.5799999833,0.4809015393,0,0.5,0.0025524246,1.5383762756,2.305476095
0.5799999833,0.4750588834,0,0.5,0.0047675213,1.5400389175,0
0.6499999762,0.476863265,0,0.5,0.0033149077,1.5395989033,15.7486682978
0.6499999762,0.4783375859,0,0.5,0.0031894234,1.5381593931,0
0.6999999881,0.4790943265,0,0.5,0.0011546651,1.5163913172,11.47694749
0.6999999881,0.4788772166,0,0.5,0.0026858537,1.5018690488,0
0.7200000286,0.4794113636,0,0.5,0.003522811,1.4880467523,4.6199132282
0.7200000286,0.4825157821,0,0.5,0.0013303817,1.4633339697,0
0.7699999809,0.482142657,0,0.5,0.0016698109,1.4486084554,11.4151945049
0.7699999809,0.4802857637,0,0.5,0.0005573384,1.4561469488,0
0.8100000024,0.4800489843,0,0.5,0.0016587477,1.4636275556,9.2147109856
0.8100000024,0.481115371,0,0.5,0.001606326,1.4688056499,0
