dist,zvel,PIDx,PIDz,xvel,pitch,theta
6.0199999809,0.0294754766,0,-0.5,-0.00730066,2.3123038557,3.9379174001
6.0199999809,0.0155471824,0,-0.5,-0.0077077653,2.2894760375,0
6.0199999809,-0.0067441254,0,-0.5,-0.0091206133,2.307934667,0
6.0199999809,-0.0359928012,0,-0.5,-0.0099316053,2.3444922268,0
6,-0.2643961012,0,-0.5,-0.0166783594,2.4125396546,3.9354290975
6,-0.398663938,0,-0.5,-0.0188499335,2.6688493496,0
6.0300002098,-0.5201460123,0,-0.5,-0.0184426922,2.8244843327,6.0286966132
6.0300002098,-0.5286967754,0,-0.5,-0.0155706285,2.973074656,0
6.0199999809,-0.5228595138,0,-0.5,-0.002905519,3.0015177369,2.0417794276
6.0199999809,-0.5209226012,0,-0.5,0.0021276874,2.9012382628,0
5.9699997902,-0.5156290531,0,-0.5,0.0098002423,2.7747540415,10.1715922229
5.9699997902,-0.5130106211,0,-0.5,0.011647908,2.5287949344,0
5.9299998283,-0.5140075088,0,-0.5,0.0104529979,2.3635931058,8.2367745167
5.9299998283,-0.515288651,0,-0.5,0.0079669803,2.1714220842,0
5.8899998665,-0.5117111206,0,-0.5,0.0021234257,2.0783954258,8.1270890597
5.8899998665,-0.5115739107,0,-0.5,-0.0008698921,2.0175325252,0
5.8299999237,-0.5156287551,0,-0.5,-0.005189064,2.0390290716,11.9421134627
5.8299999237,-0.5169146061,0,-0.5,-0.0068958574,2.1049361404,0
5.8099999428,-0.516315639,0,-0.5,-0.0089016361,2.1680033977,4.0585455156
5.8099999428,-0.5163890123,0,-0.5,-0.0086733997,2.2553534834,0
5.7600002289,-0.5144307613,0,-0.5,-0.0080957059,2.3234566166,10.117010618
5.7600002289,-0.5129759908,0,-0.5,-0.0075041135,2.402248483,0
5.7300000191,-0.5137149692,0,-0.5,-0.0076389508,2.4311846174,6.2191071264
5.7300000191,-0.5137637258,0,-0.5,-0.0081781559,2.4634348472,0
5.6999998093,-0.5117872953,0,-0.5,-0.005259424,2.4596880669,6.324197122
5.6999998093,-0.51243186,0,-0.5,-0.0049793436,2.4418249,0
5.6700000763,-0.5126942992,0,-0.5,-0.004184287,2.4246753637,6.3112849059
5.6700000763,-0.5131450891,0,-0.5,-0.0052945176,2.383782801,0
5.6199998856,-0.5155369043,0,-0.5,-0.0078387558,2.3723724667,10.467479635
5.6199998856,-0.5154201388,0,-0.5,-0.0082083885,2.3755419423,0
5.5700001717,-0.5118913651,0,-0.5,-0.0085793631,2.3924701113,10.4584081135
5.5700001717,-0.5108377934,0,-0.5,-0.0069578835,2.4346096311,0
5.5300002098,-0.5117436647,0,-0.5,-0.0077892537,2.4629698452,8.4361809848
5.5300002098,-0.5130519271,0,-0.5,-0.0075853774,2.4961740593,0
5.4800000191,-0.513833344,0,-0.5,-0.0082942853,2.5122143247,10.614788345
5.4800000191,-0.5128719807,0,-0.5,-0.0072277305,2.5341253332,0
5.4400000572,-0.5119419098,0,-0.5,-0.005191802,2.5559063657,8.6490890842
5.4400000572,-0.5133699179,0,-0.5,-0.0067578242,2.5619456546,0
5.4000000954,-0.5120435357,0,-0.5,-0.0049499795,2.5435503975,8.7640544447
5.4000000954,-0.5118926167,0,-0.5,-0.0035468757,2.5091993049,0
5.3699998856,-0.5106576085,0,-0.5,-0.0033542982,2.4716830725,6.6838961935
5.3699998856,-0.511038959,0,-0.5,-0.0055439761,2.4421758375,0
5.3099999428,-0.5088380575,0,-0.5,-0.0066669751,2.4280310491,13.2574555665
5.3099999428,-0.5091747642,0,-0.5,-0.0070234016,2.4670688834,0
5.2899999619,-0.5097626448,0,-0.5,-0.0067932475,2.4990029573,4.4909787531
5.2899999619,-0.510186851,0,-0.5,-0.0069615953,2.5352875334,0
5.25,-0.5109116435,0,-0.5,-0.0060273875,2.552651503,8.9254748825
5.25,-0.5105130076,0,-0.5,-0.0056705028,2.5821727949,0
5.1900000572,-0.5093148351,0,-0.5,-0.0064393035,2.5956985739,13.4032977621
5.1900000572,-0.5108782053,0,-0.5,-0.0068750861,2.6052756603,0
5.1500000954,-0.5113282204,0,-0.5,-0.0073851813,2.5928523125,9.0600532444
5.1500000954,-0.5114361048,0,-0.5,-0.0067649316,2.576651057,0
5.0999999046,-0.5103778839,0,-0.5,-0.0053984141,2.5894095604,11.3393300291
5.0999999046,-0.5095918179,0,-0.5,-0.00413157,2.589392365,0
5.0599999428,-0.5096781254,0,-0.5,-0.0051281564,2.5931177066,9.1741799646
5.0599999428,-0.5096399784,0,-0.5,-0.0052540414,2.6027365226,0
5,-0.5076730847,0,-0.5,-0.0021838171,2.5973196585,13.6100976989
5,-0.5083857179,0,-0.5,-0.0035875742,2.5895768332,0
4.9600000381,-0.5087967515,0,-0.5,-0.006466276,2.593744779,9.3035144942
4.9600000381,-0.5098432302,0,-0.5,-0.0073992293,2.6082608246,0
4.9200000763,-0.5104142427,0,-0.5,-0.0057102791,2.6249647596,9.4292059707
4.9200000763,-0.5085411668,0,-0.5,-0.0066181882,2.6457691232,0
4.8899998665,-0.5070109963,0,-0.5,-0.0051364186,2.6671853619,7.2036079035
4.8899998665,-0.5077007413,0,-0.5,-0.0052814726,2.6882838745,0
4.8499999046,-0.5091275573,0,-0.5,-0.0049167015,2.6946447117,9.627728838
4.8499999046,-0.5104859471,0,-0.5,-0.0062336242,2.6843270916,0
4.7899999619,-0.5105378032,0,-0.5,-0.0074667647,2.6673617946,14.5731680139
4.7899999619,-0.5067772865,0,-0.5,-0.0063674501,2.65313551,0
4.75,-0.5043557286,0,-0.5,-0.0067367274,2.6552160771,10.1304044928
4.75,-0.5086092353,0,-0.5,-0.0057911174,2.650169693,0
4.7100000381,-0.5093290806,0,-0.5,-0.0051562982,2.645240318,10.5651015521
4.7100000381,-0.5049721599,0,-0.5,-0.0035776957,2.6389877104,0
4.6500000954,-0.5050371289,0,-0.5,-0.002420695,2.6486675135,16.59227695
4.6500000954,-0.5097383857,0,-0.5,-0.0017466954,2.6510435514,0
4.6100001335,-0.5099952221,0,-0.5,-0.0012900016,2.6577089687,11.9387217454
4.6100001335,-0.5100833178,0,-0.5,-0.0004957484,2.6550482835,0
4.5399999619,-0.5084139705,0,-0.5,0.0002061047,2.6414124292,21.0882071081
4.5399999619,-0.509816885,0,-0.5,0.0021655981,2.6247225175,0
4.5,-0.5105080605,0,-0.5,0.0013540494,2.5975180014,13.3408344072
4.5,-0.5062162876,0,-0.5,0.002979124,2.5778978668,0
4.4600000381,-0.5078342557,0,-0.5,0.0042688698,2.5503705959,14.4254548484
4.4600000381,-0.5092997551,0,-0.5,0.0042608348,2.5415644434,0
4.4099998474,-0.5082885623,0,-0.5,0.0041506793,2.5419255885,19.0759873314
4.4099998474,-0.5042651892,0,-0.5,0.0042219926,2.5516956514,0
4.3899998665,-0.5041370392,0,-0.5,0.0054253009,2.5639402178,8.2545759072
4.3899998665,-0.5087902546,0,-0.5,0.0072850082,2.5631710841,0
4.3299999237,-0.5087668896,0,-0.5,0.0089776013,2.5390780989,25.4322190308
4.3299999237,-0.5100467205,0,-0.5,0.0099280952,2.5079559505,0
4.2699999809,-0.5112142563,0,-0.5,0.0095751835,2.4810838385,27.7764832055
4.2699999809,-0.5092664361,0,-0.5,0.0090611,2.4583155647,0
4.2300000191,-0.5084770918,0,-0.5,0.0067513338,2.4120325315,21.3560869269
4.2300000191,-0.5073871017,0,-0.5,0.0033399782,2.4076465783,0
